Source,Target,Type
Success_on1y,eLearning_Feed,Directed
many_loops,singularity_net,Directed
viktor_besov,GraphGrail,Directed
viktor_besov,GraphGrail,Directed
Tsundu_Mak,ahmedjr_16,Directed
blue08613,ryan_a_bell,Directed
EdgarTodd10,IainLJBrown,Directed
sectest9,xfxie,Directed
ArkangelScrap,reach2ratan,Directed
blue08613,ipfconline1,Directed
ArkangelScrap,SachinLulla,Directed
c2schoen,andi_staub,Directed
blaizedsouza,Ronald_vanLoon,Directed
FernandoLM2M,VodafoneVGE,Directed
sectest9,GOGLINJF,Directed
StrategyFintech,TopCyberNews,Directed
StrategyFintech,ipfconline1,Directed
mbellias,SachinLulla,Directed
Abonarea1,singularity_net,Directed
ArkangelScrap,IMITAKCO,Directed
RobynPope83,IainLJBrown,Directed
arichduvet,JorgeTRRHH,Directed
ArkangelScrap,reach2ratan,Directed
SimonettaAcri,McKinsey_it,Directed
arielSTRABONI,SeverineLienard,Directed
ArkangelScrap,granvilleDSC,Directed
ArkangelScrap,IMITAKCO,Directed
MaFrenay,DSMeu,Directed
smartcityfeed,realrudymartin,Directed
AdaptiveToolbox,seskvocovicqm,Directed
Adele47018578,electrofab,Directed
dliotta,guzmand,Directed
JasonW_Avaya,Jim__Geary,Directed
stephenanspach,apltownsend,Directed
TVSNext,seskvocovicqm,Directed
TVSNext,TopCyberNews,Directed
TopCyberNews,isabelleperes,Directed
TVSNext,JCViollier,Directed
TVSNext,dndstudio3,Directed
SaiaCarmelo,giandozeta,Directed
TVSNext,ipfconline1,Directed
AlfrediaYates10,UserExperienceU,Directed
fernandocuenca,UserExperienceU,Directed
lin520josh,BigDataBlender,Directed
11fractalers,blckchaindaily,Directed
UncleIrvin,MRDIZASTER,Directed
AHurtadoZ,TopCyberNews,Directed
Samu3lR0y,IainLJBrown,Directed
ThancmarFeldt,IainLJBrown,Directed
JulienSiva,jblefevre60,Directed
MassimoChirivi,1DavidClarke,Directed
Ansip_EU,DSMeu,Directed
BereanoPartners,kubernan,Directed
Tsundu_Mak,reinforcelabtwt,Directed
openscience,romainbousson,Directed
ArkangelScrap,SpirosMargaris,Directed
sundarnut,mbenlakhoua,Directed
JamesFl3tcher,IainLJBrown,Directed
rogeliocano4,realrudymartin,Directed
kenenwobu,JGrobicki,Directed
JensRoehrich,JensRoehrich,Directed
Mktg_AE,MktgSciences,Directed
startzai,McKinsey_it,Directed
hoofsnash,Crypticsup,Directed
jackyeclayton,seskvocovicqm,Directed
jackyeclayton,Ronald_vanLoon,Directed
jackyeclayton,IainLJBrown,Directed
JulienSiva,rajat_shrimal,Directed
BereanoPartners,TopCyberNews,Directed
lfpazmino,JimMarous,Directed
RickDeare,Ronald_vanLoon,Directed
sandramp,sardire,Directed
Linktheinformer,CapnMintbeard,Directed
WIOMAX_PA,xfxie,Directed
machinelearnbot,Ronald_vanLoon,Directed
sandramp,sardire,Directed
Tim,DiegoKuonen,Directed
baldesco,appliedAIbook,Directed
MichaelBCurran,tkuehlmeyer,Directed
robmccargow,robmccargow,Directed
Gadrizzle,DeepLearn007,Directed
ThomasHaneder,BuschRo,Directed
kenenwobu,SpirosMargaris,Directed
sunshine_alya,skychainglobal,Directed
florchsandoval,IECStandards,Directed
OhThatsRaRa,MichaelCameneti,Directed
Mu_ul_lil,Ansip_EU,Directed
ecommerce_gl,TheMisterFavor,Directed
kenenwobu,SpirosMargaris,Directed
Tsundu_Mak,bonzaiengineers,Directed
Ronald_vanLoon,Ronald_vanLoon,Directed
hoofsnash,Crypticsup,Directed
WechslerMallory,IainLJBrown,Directed
ArkangelScrap,helene_wpli,Directed
AdamsFantasy,ARakhlin,Directed
kenenwobu,bedfordcj,Directed
jacky_038,andi_staub,Directed
Calcaware,helene_wpli,Directed
FutureCite,HaroldSinnott,Directed
Risar_,theRSAorg,Directed
deusex_mac,IMITAKCO,Directed
dyobs,andi_staub,Directed
evolvexie,AitheonOfficial,Directed
ArkangelScrap,ipfconline1,Directed
KristiAlvarad0,IainLJBrown,Directed
GOGgentle,JimMarous,Directed
LauraMonferrer,IridescentLA,Directed
MayIrmamay14,StevenDilla,Directed
SpirosMargaris,JimMarous,Directed
bibirusso1122,emawware,Directed
_Data_Science,ProductiveSys,Directed
_Data_Science,ProductiveSys,Directed
ArkangelScrap,TopCyberNews,Directed
Gadrizzle,DeepLearn007,Directed
DivergentCIO,Ronald_vanLoon,Directed
flavien_perier,KirkDBorne,Directed
blogtheristo,DSMeu,Directed
SpectorSupport,JimMarous,Directed
ajisafebidemi,Ronald_vanLoon,Directed
akdm_bot,8BarJim,Directed
ArkangelScrap,Ronald_vanLoon,Directed
Capta1n_ML,IainLJBrown,Directed
kenenwobu,Fisher85M,Directed
andreacreativo,IconsultingBI,Directed
Tsundu_Mak,Gartner_inc,Directed
smartcityfeed,_Data_Science,Directed
smartcityfeed,_Data_Science,Directed
GamerGeekNews,KirkDBorne,Directed
TriciaKicksSaaS,Ronald_vanLoon,Directed
EdAl001,Princeton,Directed
mazenjawarneh1,MedGizmo,Directed
_Data_Science,_FarooqUmar,Directed
LNSPMensHospo,MTLINTL,Directed
charganack,fintech_matt,Directed
MdMominUddin004,skychainglobal,Directed
suntastic77,ryan_a_bell,Directed
ali_hasany,JimMarous,Directed
JohnSnowai,KirkDBorne,Directed
MdMominUddin004,skychainglobal,Directed
MarcRezzonico,reymondin,Directed
SpirosMargaris,SpirosMargaris,Directed
Svv52rus,skychainglobal,Directed
Sandp85,Crypticsup,Directed
FutureCite,biconnections,Directed
Svv52rus,skychainglobal,Directed
deusex_mac,IainLJBrown,Directed
renato_umeton,dataiku,Directed
MdMominUddin004,skychainglobal,Directed
fintechna,charganack,Directed
Sandp85,Crypticsup,Directed
onmedic_it,McKinsey_it,Directed
SpirosMargaris,SpirosMargaris,Directed
MikeQuindazzi,PBalakrishnaRao,Directed
Svv52rus,skychainglobal,Directed
MdMominUddin004,skychainglobal,Directed
reinforcelabtwt,Ananna16,Directed
dirkzitt,HaroldSinnott,Directed
kenenwobu,evankirstel,Directed
DavidUlysse1,Ronald_vanLoon,Directed
NikkiPatel_,healthyopinion,Directed
CypherSec,eSURETY,Directed
hamzahbava,Vilavaite,Directed
MikeQuindazzi,MikeQuindazzi,Directed
WIOMAX_PA,IainLJBrown,Directed
yourodivy,AitheonOfficial,Directed
Bjorn Kutz,rajat_shrimal,Directed
Tsundu_Mak,AI_Mentors,Directed
Muddassar3352,forrester,Directed
BereanoPartners,Enterprisenxt,Directed
NKS_SUB,meisshaily,Directed
Stacie_Young1,TalentEcon,Directed
UtarSystems,yenravc,Directed
PaiviAntikainen,Ansip_EU,Directed
KMJ1925,isabelleperes,Directed
_maryhshultz,SAP,Directed
MarilioMeireles,dataiku,Directed
DigitalPhamcist,healthyopinion,Directed
KMJ1925,TopCyberNews,Directed
FormilabHX,DonGordon5,Directed
Calcaware,SaeedBaygi,Directed
DrSRaghavachari,ValaAfshar,Directed
schotanus,MikeQuindazzi,Directed
PetarPan321,VectorZilla,Directed
DavidUlysse1,SeverineLienard,Directed
Farm_Machinery_,MikeQuindazzi,Directed
ADRIANDOMAINAME,ADRIANDOMAINAME,Directed
DesignT_AE,Science_Mktg,Directed
kenenwobu,stephan_horvath,Directed
MotorcycleTwitt,MikeQuindazzi,Directed
KMJ1925,TopCyberNews,Directed
MotorcycleTwitt,PBalakrishnaRao,Directed
kenenwobu,Ronald_vanLoon,Directed
arctoplabs,SAP_Labs_Israel,Directed
mariathewlis,panintelligence,Directed
MotorcycleTwitt,MikeQuindazzi,Directed
SokoloffLouiza,IainLJBrown,Directed
MotorcycleTwitt,MikeQuindazzi,Directed
lianabell8,lianabell8,Directed
JuergUnger,ipfconline1,Directed
metabolic_ba,MedGizmo,Directed
MotorcycleTwitt,MikeQuindazzi,Directed
JohnSnowai,dataiku,Directed
SEOMediaLab,JCC_HombreOmega,Directed
CuriaTech,GaryDower,Directed
valb00,YvesMulkers,Directed
MotorcycleTwitt,MikeQuindazzi,Directed
smartcityfeed,eSURETY,Directed
CuriaTech,GaryDower,Directed
AvatarNemo,DesignT_AE,Directed
smartcityfeed,_Data_Science,Directed
smartcityfeed,Enterprisenxt,Directed
MeryJose8947,meisshaily,Directed
JoonErdogan,IainLJBrown,Directed
EGolgher,TheValdezGroup,Directed
d1version1988,daneelproject,Directed
CuriaTech,GaryDower,Directed
worldtrendsinfo,worldtrendsinfo,Directed
antor,deepdrinkingnet,Directed
wildbigboy,jblefevre60,Directed
johnoeffinger75,IMITAKCO,Directed
AIBizDir,AndreKiehne,Directed
Cyberconnecting,APTiefengraber,Directed
dignetdesigns,GaryDower,Directed
AIBizDir,xfxie,Directed
dignetdesigns,GaryDower,Directed
yahsreign,b0tt0mWatch3r,Directed
energycoin,_Data_Science,Directed
energycoin,eSURETY,Directed
dignetdesigns,GaryDower,Directed
GENESSSA,ipfconline1,Directed
Samu3lR0y,IainLJBrown,Directed
ThancmarFeldt,IainLJBrown,Directed
tthus,dataiku,Directed
dignetdesigns,GaryDower,Directed
Shuks_07,Shuks_07,Directed
TZhauna,skychainglobal,Directed
Meimmii,singularity_net,Directed
JamesFl3tcher,IainLJBrown,Directed
Tsundu_Mak,mjcavaretta,Directed
TapioYlitalo,wef,Directed
jacky_038,ipfconline1,Directed
kotobahanasu,kotobahanasu,Directed
wildbigboy,helene_wpli,Directed
StrategyFintech,ch4rma_net,Directed
StrategyFintech,ipfconline1,Directed
NEBuMAX Inc.,paulrayner60,Directed
DemianRT,chboursin,Directed
OTsespinoza,jamesvgingerich,Directed
OTsespinoza,jamesvgingerich,Directed
KarolynCavanah,IainLJBrown,Directed
MetiJoshi,IainLJBrown,Directed
jacky_038,JimMarous,Directed
shikha25_4,FtLauderdaleAI,Directed
arima_india,botunity,Directed
cyainz,cloudubq,Directed
marksmithvr,ventanaresearch,Directed
CarrieH3nry,IainLJBrown,Directed
arima_india,botunity,Directed
cyainz,TRUMPmag,Directed
kickibvall,brigitte_naylor,Directed
cyainz,OrganicSoMe,Directed
cyainz,DonGordon5,Directed
lesguer_lionel,Fisher85M,Directed
worldtrendsinfo,rajat_shrimal,Directed
worldtrendsinfo,TopCyberNews,Directed
WeissJorge,Katherine_Coach,Directed
worldtrendsinfo,MikeQuindazzi,Directed
LisaDMeyer,andreascaliatw,Directed
TVSNext,botunity,Directed
TVSNext,botunity,Directed
ryanriopelle,databricks,Directed
worldtrendsinfo,Ronald_vanLoon,Directed
wildbigboy,ipfconline1,Directed
wildbigboy,albertogaruccio,Directed
wildbigboy,thehackernewsu1,Directed
535783927,BullFan2016,Directed
einarify,mitsmr,Directed
tthus,dataiku,Directed
poramatepi,reach2ratan,Directed
dr_Jen_Mitchell,EricTopol,Directed
uguud,randal_olson,Directed
diabetic_li,MedGizmo,Directed
Calcaware,mitsmr,Directed
Calcaware,dataiku,Directed
javilop,deepdrinkingnet,Directed
itknowingness,pandoraskids,Directed
Calibra1970,Calibra1970,Directed
grantcopywriter,Nitish_Sharma23,Directed
77NinjasDMkt,MikeQuindazzi,Directed
SocialCoachDACH,iMariaJohnsen,Directed
KristiAlvarad0,IainLJBrown,Directed
FaustinoLo38,rajat_shrimal,Directed
Damien_CABADI,DBakerIT,Directed
larkdj1,v2soft,Directed
JohnSnowai,ipfconline1,Directed
AAlNaggar,AAlNaggar,Directed
DisruptArtist,OrganicSoMe,Directed
JohnSnowai,ch4rma_net,Directed
JohnSnowai,insurtechtalk,Directed
RickDeare,MikeQuindazzi,Directed
cremeans_john,b0tt0mWatch3r,Directed
WomenInResearch,zoedowling,Directed
tthus,KirkDBorne,Directed
DmitriiMochalo1,Crypticsup,Directed
piyuanker12,evankirstel,Directed
Applexus,carinasmessage,Directed
bdt_systems,OrganicSoMe,Directed
christian91111,MikeQuindazzi,Directed
tthus,DigiConWeek,Directed
mysecretteam,ipfconline1,Directed
mysecretteam,digitalasiahub,Directed
VPernanduz,AitheonOfficial,Directed
mysecretteam,NIRAV_88,Directed
ClearDiff,PleasureEthics,Directed
RonandBernard,rajat_shrimal,Directed
mysecretteam,constellationr,Directed
mnr_786,DBakerIT,Directed
EmmaFoxLaw,JamesTouzelTMT,Directed
FSSI_CA,iMariaJohnsen,Directed
DisruptArtist,constellationr,Directed
MiyasouMiyazaki,ryan_a_bell,Directed
yakkyosrl,McKinsey_it,Directed
Tsundu_Mak,GaryDower,Directed
IAOP,Sitel_WorldWide,Directed
christian91111,rajat_shrimal,Directed
MyriamOzon,stephan_horvath,Directed
math_theor,granvilleDSC,Directed
SusanScranton,AnnCavoukian,Directed
StrategyFintech,insurtechtalk,Directed
NVSData,sublight,Directed
DimitrisTroupo1,SpirosMargaris,Directed
Rich_Baptista,SyneosComms,Directed
christian91111,MikeQuindazzi,Directed
wildbigboy,evankirstel,Directed
jvabad,MikeQuindazzi,Directed
tech38731,MikeQuindazzi,Directed
zABRhEFZOSGZePp,skychainglobal,Directed
wildbigboy,ipfconline1,Directed
AIBizDir,JoabeGomes7,Directed
umbrellarealist,Crypticsup,Directed
OliviaNikodem,IainLJBrown,Directed
AdamsFantasy,ipfconline1,Directed
OLIDEU,globaldatamaker,Directed
thushanperera44,andi_staub,Directed
dardo82,IntelAI,Directed
Abhi_Nandann,Wimoxez,Directed
TomiDoerz,AnneHirvonen1,Directed
IanKnowlson,ipfconline1,Directed
WIOMAX_VA,wiomax,Directed
AdamsFantasy,ipfconline1,Directed
wildbigboy,Kevin_Jackson,Directed
Elise_Pclay,IoTRecruiting,Directed
RobertJMalcom,IoTRecruiting,Directed
Michael_Jacobe,IoTRecruiting,Directed
AdamsFantasy,GaryDower,Directed
DollyRayDigital,IoTRecruiting,Directed
itknowingness,IoTRecruiting,Directed
DollyRay1987,IoTRecruiting,Directed
AkanshaDigital,IoTRecruiting,Directed
SunnyRayDigital,IoTRecruiting,Directed
SocialMedia_ist,IoTRecruiting,Directed
SMDominator,IoTRecruiting,Directed
MarcoPark21,IainLJBrown,Directed
FirstLink_bdx,dataiku,Directed
Tsundu_Mak,BColwell_ALT,Directed
maya_rap,omeroymak,Directed
Mcdonaldga,EricTopol,Directed
wildbigboy,evankirstel,Directed
JonathanAVelas4,_DALECOIN,Directed
CastresanaMarta,SwissCognitive,Directed
B2BDig,MktgSciences,Directed
LolitaBisher3,kubernan,Directed
MiliotoCharles,JSaneOfficial,Directed
FabienBrodie,IainLJBrown,Directed
techtionary,aiqawards,Directed
HonrCourageComm,reprintsdesk,Directed
thushanperera44,comeinforjosh,Directed
vsinghalus,DeepLearn007,Directed
BreakiNew,vg_fco,Directed
DBaker007,ipfconline1,Directed
CADTH_ACMTS,CharlesTam,Directed
umbrellarealist,Crypticsup,Directed
jcboxymore,MikeQuindazzi,Directed
yulbiz,MTLINTL,Directed
waltque,SprkyBot #sprkyfeed AI is getting dumber https,Directed
Max_Lyashko,cloudubq,Directed
AdamsFantasy,chboursin,Directed
Finnsense,EricTopol,Directed
BuanaFrank3,IainLJBrown,Directed
AnjaHoffmann,HoffmannAnja,Directed
Julia_Lessen,VertiAI,Directed
DalithSteiger,basovertoom,Directed
sectest9,vinod1975,Directed
Tsundu_Mak,ipfconline1,Directed
CFPatrick,brigitte_naylor,Directed
ttiiggss,MedGizmo,Directed
RobynPope83,IainLJBrown,Directed
AccWalking,wiomax,Directed
SokoloffLouiza,IainLJBrown,Directed
hinelinebling,IainLJBrown,Directed
vladtarko,helene_wpli,Directed
svetkravc,AitheonOfficial,Directed
Analytics_COE,MktgSciences,Directed
AvatarNemo,IainLJBrown,Directed
brentmel,blckchaindaily,Directed
JoonErdogan,IainLJBrown,Directed
TalkJoint,singularity_net,Directed
AdamsFantasy,SaeedBaygi,Directed
entwistletx,badbabysitters,Directed
K08AE,MktgSciences,Directed
emscharf,ryan_a_bell,Directed
deusex_mac,IoTRecruiting,Directed
ThancmarFeldt,IainLJBrown,Directed
NokoQuantum,Findout_Ltd,Directed
jamesvrayiii,thinkmariya,Directed
piyuanker12,evankirstel,Directed
Twinybots,_aloknath,Directed
ninsewakishiko,Crypticsup,Directed
Tsundu_Mak,pierrepinna,Directed
piyuanker12,jblefevre60,Directed
AnInsite,MktgSciences,Directed
pmedina,Analytics_COE,Directed
KMJ1925,antgrasso,Directed
AdamsFantasy,DD_FaFa_,Directed
EtienneVdwalle,AccentureTech,Directed
Crucial_Recruit,Aware_360,Directed
AdamsFantasy,ipfconline1,Directed
MetiJoshi,IainLJBrown,Directed
tamamshud,VectorZilla,Directed
Elise_Pclay,SachinLulla,Directed
RobertJMalcom,SachinLulla,Directed
realPwarden,AnonScan,Directed
SMDominator,SachinLulla,Directed
DollyRayDigital,SachinLulla,Directed
Blockchainer91,_Peculium,Directed
AkanshaDigital,SachinLulla,Directed
CarrieH3nry,IainLJBrown,Directed
Michael_Jacobe,SachinLulla,Directed
SunnyRayDigital,SachinLulla,Directed
MarcoPark21,IainLJBrown,Directed
sararubenstein,EdTech_HigherEd,Directed
Lynne_Jean,ryan_a_bell,Directed
SocialMedia_ist,SachinLulla,Directed
DollyRay1987,SachinLulla,Directed
cryptoredneck,skychainglobal,Directed
GadflyQuebec,AnnCavoukian,Directed
poseluhadance,KeplerTek,Directed
piyuanker12,SerenovaShine,Directed
poseluhadance,KeplerTek,Directed
arnaud_delacost,Sitel_WorldWide,Directed
BenBBarrows,basovertoom,Directed
RobertJMalcom,mvasey,Directed
Elise_Pclay,mvasey,Directed
machinelearnbot,KirkDBorne,Directed
SMDominator,mvasey,Directed
itknowingness,mvasey,Directed
Michael_Jacobe,mvasey,Directed
norvel54,skychainglobal,Directed
machinelearnbot,Ronald_vanLoon,Directed
LONDONAIMCAP,jblefevre60,Directed
SocialMedia_ist,mvasey,Directed
Tsundu_Mak,TylerPaolo,Directed
ninsewakishiko,Crypticsup,Directed
greentim,StevenDilla,Directed
WechslerMallory,IainLJBrown,Directed
TaknNezihe,beyzazapsu,Directed
DollyRayDigital,mvasey,Directed
AccountingToday,appzen,Directed
ppaawwaarr,Abhi_Nandann,Directed
ALittleLiteracy,MktgSciences,Directed
SunnyRayDigital,mvasey,Directed
piyuanker12,evankirstel,Directed
AkanshaDigital,mvasey,Directed
DollyRay1987,mvasey,Directed
LONDONAIMCAP,TopCyberNews,Directed
danmark50,psb_dc,Directed
Calcaware,mvasey,Directed
piyuanker12,ipfconline1,Directed
WestsideSEO,CDWGWAGov,Directed
TopCyberNews,TopCyberNews,Directed
KristiAlvarad0,IainLJBrown,Directed
WestsideSEO,CDWGWAGov,Directed
Elise_Pclay,granvilleDSC,Directed
